file_id,-fipa-vrp,-ftree-builtin-call-dce,-fdevirtualize-speculatively,-fcse-follow-jumps,-fgcse-lm,-flra-remat,-ffinite-loops,-frerun-cse-after-loop,-foptimize-sibling-calls,-fthread-jumps,-fstrict-aliasing,-finline-small-functions,-fcrossjumping,-ftree-vrp,-fipa-icf,-fpeephole2,-O1,-fschedule-insns,-fisolate-erroneous-paths-dereference,-fgcse,-findirect-inlining,-ftree-slp-vectorize,-fvect-cost-model=cheap,-freorder-blocks-algorithm=stc,-fcode-hoisting,-fstore-merging,-fcse-skip-blocks,-fdelete-null-pointer-checks,-ftree-tail-merge,-fdevirtualize,-fipa-cp,-fipa-ra,-falign-jumps,-finline-functions,-ftree-pre,-fschedule-insns2,-fcaller-saves,-freorder-functions,-fipa-sra,-fsched-spec,-fpartial-inlining,-falign-loops,-fipa-bit-cp,-freorder-blocks-and-partition,-falign-labels,-fexpensive-optimizations,-foptimize-strlen,-falign-functions,-fsched-interblock,-fhoist-adjacent-loads,-ftree-loop-vectorize,-ftree-switch-conversion
82,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1
94,1,1,0,1,1,0,1,0,1,0,1,0,0,1,0,0,1,1,1,1,1,0,1,0,1,1,0,0,0,1,1,0,0,1,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,0,1,1
57,1,1,1,0,0,0,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,1,0,1,1,1,0,1,1,0,1,1,1,0,0,1
41,1,1,1,1,1,0,0,0,1,1,1,0,0,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1
16,1,1,0,1,1,0,0,1,1,1,1,0,0,0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,0,1
61,0,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,1
36,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,0,1,1,1,1,0,1,0,0,0,1,0
20,0,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,1,1,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,0,1,1,1,0,0,1,1,0,1
98,0,0,0,0,1,1,1,0,1,1,0,1,0,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,0,1,1,0,0,0,1,1,0,0,1,1,1,1,0,0,0,1,1,1,0
77,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0
