Window,Hit,q,Probability
1,1,0.1,0.0
2,1,0.1,-2.220446049250313e-16
3,1,0.1,0.0
3,2,0.1,0.0
4,1,0.1,-4.440892098500626e-16
4,2,0.1,0.0
4,3,0.1,0.0
5,1,0.1,5.649924972317422e-13
5,2,0.1,-2.220446049250313e-16
5,3,0.1,0.0
5,4,0.1,0.0
6,1,0.1,8.674023721511048e-10
6,2,0.1,-2.220446049250313e-16
6,3,0.1,-2.220446049250313e-16
6,4,0.1,0.0
6,5,0.1,0.0
7,1,0.1,1.1921140308235323e-07
7,2,0.1,-2.220446049250313e-16
7,3,0.1,-2.220446049250313e-16
7,4,0.1,-2.220446049250313e-16
7,5,0.1,0.0
7,6,0.1,0.0
8,1,0.1,3.8135995850119286e-06
8,2,0.1,2.5091040356528538e-14
8,3,0.1,-2.220446049250313e-16
8,4,0.1,0.0
8,5,0.1,-2.220446049250313e-16
8,6,0.1,0.0
8,7,0.1,0.0
9,1,0.1,4.781051799007674e-05
9,2,0.1,9.487299834631813e-12
9,3,0.1,-2.220446049250313e-16
9,4,0.1,-2.220446049250313e-16
9,5,0.1,-2.220446049250313e-16
9,6,0.1,-2.220446049250313e-16
9,7,0.1,0.0
9,8,0.1,0.0
1,1,0.5,0.0
2,1,0.5,7.315680283781489e-10
3,1,0.5,0.0002617445799828477
3,2,0.5,4.1300296516055823e-14
4,1,0.5,0.02728495770116013
4,2,0.5,2.627029308532869e-07
4,3,0.5,1.1102230246251565e-16
5,1,0.5,0.18989040080364195
5,2,0.5,0.00037938671518533695
5,3,0.5,1.1863696691705172e-09
5,4,0.5,0.0
6,1,0.5,0.4539063807500546
6,2,0.5,0.014663527078652594
6,3,0.5,6.708794340060109e-06
6,4,0.5,1.6448842288241394e-11
6,5,0.5,0.0
7,1,0.5,0.6824796125033945
7,2,0.5,0.10026608498915701
7,3,0.5,0.0008709366624551906
7,4,0.5,1.8407307100787307e-07
7,5,0.5,5.146993942162226e-13
7,6,0.5,0.0
8,1,0.5,0.8297920375809222
8,2,0.5,0.28320688708951236
8,3,0.5,0.014825538206584832
8,4,0.5,5.370997457432303e-05
8,5,0.5,7.833377058119595e-09
8,6,0.5,2.930988785010413e-14
8,7,0.5,0.0
9,1,0.5,0.9124410728947467
9,2,0.5,0.5000934877923808
9,3,0.5,0.07994536921280837
9,4,0.5,0.0018687332429668801
9,5,0.5,3.878633406784182e-06
9,6,0.5,4.915641227398737e-10
9,7,0.5,2.6645352591003757e-15
9,8,0.5,0.0
1,1,0.9,2.6561398887570142e-05
2,1,0.9,0.40151144648169124
3,1,0.9,0.9152348199388207
3,2,0.9,0.1974726629343848
4,1,0.9,0.9912946516351646
4,2,0.9,0.7935672046650308
4,3,0.9,0.11130723226639172
5,1,0.9,0.999135332430116
5,2,0.9,0.9700064313691444
5,3,0.9,0.6670578242866592
5,4,0.9,0.0691470074673306
6,1,0.9,0.9999144031798127
6,2,0.9,0.9962277004933674
6,3,0.9,0.9357686049965831
6,4,0.9,0.5517579678840837
6,5,0.9,0.04618337248783211
7,1,0.9,0.9999915300303794
7,2,0.9,0.9995499745506121
7,3,0.9,0.9901398380294303
7,4,0.9,0.8904539341337265
7,5,0.9,0.45337303607697654
7,6,0.9,0.03261551317568523
8,1,0.9,0.9999991620002899
8,2,0.9,0.9999479251034719
8,3,0.9,0.9986203617526155
8,4,0.9,0.9799877950732486
8,5,0.9,0.8370336419300151
8,6,0.9,0.37227614261816977
8,7,0.9,0.02407192260328861
9,1,0.9,0.9999999171000028
9,2,0.9,0.9999941021137858
9,3,0.9,0.9998170807048884
9,4,0.9,0.9967790534971169
9,5,0.9,0.9652447464039966
9,6,0.9,0.7787125193101375
9,7,0.9,0.30659679405268414
9,8,0.9,0.018410060649097337
1,1,0.99,0.36603234127322937
2,1,0.99,0.9902435088933722
3,1,0.99,0.9999029743769552
3,2,0.99,0.9809512221610727
4,1,0.99,0.9999990396004194
4,2,0.99,0.9997147380843593
4,3,0.99,0.9720913088703461
5,1,0.99,0.999999990495
5,2,0.99,0.9999962353312125
5,3,0.99,0.9994408889997773
5,4,0.99,0.963634830573116
6,1,0.99,0.99999999990594
6,2,0.99,0.9999999534323609
6,3,0.99,0.9999907770850825
6,4,0.99,0.9990868073170445
6,5,0.99,0.9555554164432095
7,1,0.99,0.9999999999990693
7,2,0.99,0.9999999994470748
7,3,0.99,0.9999998631181031
7,4,0.99,0.9999819246692793
7,5,0.99,0.9986576561639035
7,6,0.99,0.9478289815643567
8,1,0.99,0.9999999999999908
8,2,0.99,0.9999999999936179
8,3,0.99,0.9999999981040928
8,4,0.99,0.9999996870740229
8,5,0.99,0.9999690044704398
8,6,0.99,0.9981583832886115
8,7,0.99,0.9404334817907072
9,1,0.99,0.9999999999999999
9,2,0.99,0.9999999999999278
9,3,0.99,0.9999999999749936
9,4,0.99,0.9999999950473134
9,5,0.99,0.9999993868474524
9,6,0.99,0.9999514062276986
9,7,0.99,0.9975937236705386
9,8,0.99,0.9333486997279488
