t,u,y,r
16107,0.0,0.0,0.0
65503,99.99996185302734,-6.03960657119751,568.70166015625
48286,200.0,-5.220228672027588,568.70166015625
72224,300.0000305175781,25.16101837158203,568.70166015625
80364,382.6185302734375,84.05775451660156,568.70166015625
41050,355.2335205078125,170.20799255371094,568.70166015625
41064,330.77593994140625,277.0210876464844,568.70166015625
41032,310.0530700683594,370.5432434082031,568.70166015625
41067,293.44061279296875,451.2411804199219,568.70166015625
43846,218.30389404296875,519.9459228515625,568.70166015625
34559,118.30389404296875,577.7036743164062,568.70166015625
57666,108.02935791015625,607.1314697265625,568.70166015625
41066,118.42588806152344,601.5157470703125,568.70166015625
41116,130.55606079101562,588.5039672851562,568.70166015625
43867,149.36758422851562,574.6634521484375,568.70166015625
22312,184.94961547851562,560.7899780273438,568.70166015625
22322,207.50332641601562,549.112548828125,568.70166015625
22314,223.34561157226562,544.7562866210938,568.70166015625
22319,235.83731079101562,543.8309326171875,568.70166015625
22320,246.69375610351562,544.3806762695312,568.70166015625
22342,256.7220764160156,545.4774780273438,568.70166015625
34252,156.72207641601562,546.7166137695312,222.3802490234375
42799,56.722068786621094,547.9382934570312,222.3802490234375
80688,51.65550994873047,516.7056884765625,222.3802490234375
41080,76.61395263671875,454.24188232421875,222.3802490234375
41113,99.54084777832031,390.0630187988281,222.3802490234375
41135,119.96297454833984,333.7172546386719,222.3802490234375
41043,137.66336059570312,284.9364318847656,222.3802490234375
43886,179.09695434570312,243.23501586914062,222.3802490234375
22322,267.8918762207031,207.99868774414062,222.3802490234375
22366,286.2793273925781,186.37960815429688,222.3802490234375
22312,280.6411437988281,192.19577026367188,222.3802490234375
22295,269.8301086425781,203.8424530029297,222.3802490234375
22308,260.2903137207031,213.94375610351562,222.3802490234375
22252,253.43399047851562,220.90798950195312,222.3802490234375
22228,248.94955444335938,225.12123107910156,222.3802490234375
21514,246.14398193359375,227.4035186767578,222.3802490234375
21516,244.38766479492188,228.4797821044922,222.3802490234375
22298,243.24627685546875,228.86257934570312,222.3802490234375
21570,242.44064331054688,228.87152099609375,222.3802490234375
21571,241.81521606445312,228.69305419921875,222.3802490234375
66857,141.81533813476562,228.42796325683594,-892.6168212890625
48289,41.81529235839844,228.12933349609375,-892.6168212890625
48271,-58.18475341796875,198.421875,-892.6168212890625
48284,-158.18479919433594,140.3365020751953,-892.6168212890625
72281,-258.1848449707031,55.11933898925781,-892.6168212890625
42793,-358.1848449707031,-55.7929573059082,-892.6168212890625
80342,-363.6892395019531,-190.79818725585938,-892.6168212890625
41127,-326.7238464355469,-348.15380859375,-892.6168212890625
41074,-296.20361328125,-498.070068359375,-892.6168212890625
41105,-272.5677185058594,-627.0260620117188,-892.6168212890625
41097,-255.79849243164062,-736.53857421875,-892.6168212890625
56066,-155.79849243164062,-828.4166870117188,-892.6168212890625
79948,-72.19611358642578,-904.596923828125,-892.6168212890625
41042,-85.6491928100586,-940.4898681640625,-892.6168212890625
41074,-102.93770599365234,-941.9707641601562,-892.6168212890625
41068,-122.86127471923828,-938.9070434570312,-892.6168212890625
41075,-144.470947265625,-932.8573608398438,-892.6168212890625
41119,-167.02749633789062,-925.000732421875,-892.6168212890625
41077,-189.965576171875,-916.2102661132812,-892.6168212890625
41070,-212.86172485351562,-907.1149291992188,-892.6168212890625
41116,-176.82232666015625,-898.15234375,-793.6912231445312
41097,-202.99105834960938,-889.6116943359375,-793.6912231445312
41123,-228.27011108398438,-864.3525390625,-793.6912231445312
41117,-252.35523986816406,-841.6320190429688,-793.6912231445312
41120,-275.0712585449219,-821.513427734375,-793.6912231445312
41129,-296.33843994140625,-803.9325561523438,-793.6912231445312
41123,-316.14599609375,-788.7410888671875,-793.6912231445312
41144,-334.53094482421875,-775.7391967773438,-793.6912231445312
43970,-385.07293701171875,-764.7001953125,-793.6912231445312
22410,-409.82342529296875,-755.3884887695312,-793.6912231445312
22397,-421.79949951171875,-757.4773559570312,-793.6912231445312
22402,-430.16668701171875,-763.1489868164062,-793.6912231445312
22359,-438.26385498046875,-768.6038818359375,-793.6912231445312
22361,-446.97332763671875,-772.8511352539062,-793.6912231445312
22360,-456.28875732421875,-775.9212036132812,-793.6912231445312
22363,-465.96649169921875,-778.1123046875,-793.6912231445312
22358,-475.77410888671875,-779.7180786132812,-793.6912231445312
22371,-485.52752685546875,-780.9544067382812,-793.6912231445312
22372,-495.12860107421875,-781.9630737304688,-793.6912231445312
22382,-504.50897216796875,-782.82666015625,-793.6912231445312
66609,-404.5091552734375,-783.5947265625,775.2434692382812
48315,-304.50909423828125,-784.2933349609375,775.2434692382812
48308,-204.50904846191406,-752.6790771484375,775.2434692382812
48394,-104.50900268554688,-689.9703369140625,775.2434692382812
48304,-4.5089569091796875,-597.6163940429688,775.2434692382812
48283,95.4910888671875,-477.26947021484375,775.2434692382812
72272,195.49110412597656,-330.75701904296875,775.2434692382812
80433,203.63748168945312,-160.05392456054688,775.2434692382812
41133,152.1719512939453,32.74541473388672,775.2434692382812
41127,109.23858642578125,218.30325317382812,775.2434692382812
41062,75.26429748535156,377.70013427734375,775.2434692382812
41076,50.135948181152344,512.9367065429688,775.2434692382812
41058,33.377586364746094,626.3402099609375,775.2434692382812
56097,-66.6224136352539,720.3677368164062,775.2434692382812
79988,-147.04217529296875,797.466064453125,775.2434692382812
41060,-131.04949951171875,833.1056518554688,775.2434692382812
41076,-110.83654022216797,834.1730346679688,775.2434692382812
41078,-87.75050354003906,830.389892578125,775.2434692382812
41083,-62.852684020996094,823.4779052734375,775.2434692382812
41052,-36.96626281738281,814.731689453125,775.2434692382812
41091,6.301544189453125,805.1021728515625,803.9816284179688
41064,31.228271484375,795.2679443359375,803.9816284179688
41065,55.76374053955078,790.72509765625,803.9816284179688
41051,79.7342758178711,786.2076416015625,803.9816284179688
41096,103.02056121826172,781.884033203125,803.9816284179688
41096,125.54598236083984,777.8558959960938,803.9816284179688
41095,147.26681518554688,774.1752319335938,803.9816284179688
41105,168.16412353515625,770.8585205078125,803.9816284179688
41111,188.2373046875,767.897216796875,803.9816284179688
43887,210.8369140625,765.2666625976562,803.9816284179688
22364,241.9140625,762.93212890625,803.9816284179688
22362,262.4169921875,761.8404541015625,803.9816284179688
22358,278.88525390625,764.6549072265625,803.9816284179688
22354,294.02001953125,768.2965087890625,803.9816284179688
22350,308.77880859375,771.6879272460938,803.9816284179688
22341,323.40185546875,774.5763549804688,803.9816284179688
22341,337.88916015625,776.9988403320312,803.9816284179688
22348,352.14013671875,779.0619506835938,803.9816284179688
22369,366.10595703125,780.8682861328125,803.9816284179688
22385,379.72607421875,782.4859008789062,803.9816284179688
22370,402.2001953125,783.964111328125,806.8462524414062
22385,408.64111328125,785.329833984375,806.8462524414062
22369,418.8408203125,789.32568359375,806.8462524414062
22378,430.4169921875,791.2384643554688,806.8462524414062
22340,442.2666015625,792.3443603515625,806.8462524414062
22347,453.91748046875,793.185546875,806.8462524414062
22328,465.224609375,793.9622192382812,806.8462524414062
